9,39,Степанян Арам,Шахурдин Матвей,3:1,9,16
9,17,Степанян Арам,Жвания Гела,0:3,9,7
9,25,Степанян Арам,Бондаренко Евгений,0:3,9,11
9,24,Степанян Арам,Бородин Дмитрий,3:0,9,13
9,55,Степанян Арам,Соколов Федор,0:3,9,8
9,46,Степанян Арам,Дзюба Петр,3:2,9,18
39,46,Шахурдин Матвей,Дзюба Петр,3:1,16,18
39,17,Шахурдин Матвей,Жвания Гела,0:3,16,7
39,25,Шахурдин Матвей,Бондаренко Евгений,1:3,16,11
39,24,Шахурдин Матвей,Бородин Дмитрий,1:3,16,13
39,55,Шахурдин Матвей,Соколов Федор,0:3,16,8
17,55,Жвания Гела,Соколов Федор,3:0,7,8
17,46,Жвания Гела,Дзюба Петр,3:0,7,18
17,25,Жвания Гела,Бондаренко Евгений,3:1,7,11
17,24,Жвания Гела,Бородин Дмитрий,3:0,7,13
25,24,Бондаренко Евгений,Бородин Дмитрий,1:3,11,13
25,55,Бондаренко Евгений,Соколов Федор,0:3,11,8
25,46,Бондаренко Евгений,Дзюба Петр,3:0,11,18
24,55,Бородин Дмитрий,Соколов Федор,0:3,13,8
24,46,Бородин Дмитрий,Дзюба Петр,3:2,13,18
55,46,Соколов Федор,Дзюба Петр,3:0,8,18
1,3,Тарасевич Сергей,Писарев Александр,3:0,6,14
1,31,Тарасевич Сергей,Самохин Илья,3:0,6,2
1,60,Тарасевич Сергей,Гриневич Ярослав,3:0,6,12
1,32,Тарасевич Сергей,Соболев Илья,1:3,6,5
1,4,Тарасевич Сергей,Асварищ Алексей,3:0,6,19
31,4,Самохин Илья,Асварищ Алексей,3:0,2,19
31,3,Самохин Илья,Писарев Александр,3:0,2,14
31,60,Самохин Илья,Гриневич Ярослав,3:0,2,12
31,32,Самохин Илья,Соболев Илья,1:3,2,5
60,32,Гриневич Ярослав,Соболев Илья,0:3,12,5
60,4,Гриневич Ярослав,Асварищ Алексей,3:0,12,19
60,3,Гриневич Ярослав,Писарев Александр,3:0,12,14
32,3,Соболев Илья,Писарев Александр,3:0,5,14
32,4,Соболев Илья,Асварищ Алексей,3:0,5,19
4,3,Асварищ Алексей,Писарев Александр,0:3,19,14
12,50,Веселов Василий,Шишея Сергей,0:3,10,3
12,37,Веселов Василий,Дозорова Мари,3:0,10,17
12,30,Веселов Василий,Самарин Илья,0:3,10,4
12,13,Веселов Василий,Трус Василий,0:3,10,1
12,18,Веселов Василий,Абдушелишвили Гоша,3:0,10,15
37,18,Дозорова Мари,Абдушелишвили Гоша,2:3,17,15
37,50,Дозорова Мари,Шишея Сергей,2:3,17,3
37,30,Дозорова Мари,Самарин Илья,0:3,17,4
37,13,Дозорова Мари,Трус Василий,0:3,17,1
30,13,Самарин Илья,Трус Василий,0:3,4,1
30,18,Самарин Илья,Абдушелишвили Гоша,3:0,4,15
30,50,Самарин Илья,Шишея Сергей,3:0,4,3
13,50,Трус Василий,Шишея Сергей,3:0,1,3
13,18,Трус Василий,Абдушелишвили Гоша,3:0,1,15
18,50,Абдушелишвили Гоша,Шишея Сергей,0:3,15,3
17,31,Жвания Гела,Самохин Илья,0:3,7,2
32,50,Соболев Илья,Шишея Сергей,1:3,5,3
55,13,Соколов Федор,Трус Василий,0:3,8,1
1,30,Тарасевич Сергей,Самарин Илья,1:3,6,4
31,50,Самохин Илья,Шишея Сергей,3:2,2,3
30,13,Самарин Илья,Трус Василий,0:3,4,1
31,13,Самохин Илья,Трус Василий,0:3,2,1
9,50,Степанян Арам,Шишея Сергей,0:3,9,3
25,60,Бондаренко Евгений,Гриневич Ярослав,3:0,11,12
25,12,Бондаренко Евгений,Веселов Василий,1:3,11,10
60,12,Гриневич Ярослав,Веселов Василий,0:3,12,10
