1,155,Тарасевич Сергей,Парулава Константин,3:1,4,9
1,125,Тарасевич Сергей,Матвеев Василий,0:3,4,2
155,125,Парулава Константин,Матвеев Василий,0:3,9,2
1,143,Тарасевич Сергей,Саркисян Вартан,3:0,4,7
155,143,Парулава Константин,Саркисян Вартан,2:3,9,7
125,143,Матвеев Василий,Саркисян Вартан,3:0,2,7
146,154,Машарский Станислав,Кракович Илья,3:0,5,10
146,6,Машарский Станислав,Полоз Андрей,1:3,5,6
154,6,Кракович Илья,Полоз Андрей,0:3,10,6
146,24,Машарский Станислав,Бородин Дмитрий,3:0,5,11
154,24,Кракович Илья,Бородин Дмитрий,1:3,10,11
6,24,Полоз Андрей,Бородин Дмитрий,3:0,6,11
72,153,Лазебник Адам,Wesker Liu,2:3,1,3
72,148,Лазебник Адам,Синайский Дмитрий,3:0,1,8
153,148,Wesker Liu,Синайский Дмитрий,3:1,3,8
146,148,Машарский Станислав,Синайский Дмитрий,3:0,5,8
143,154,Саркисян Вартан,Кракович Илья,3:0,7,10
125,146,Матвеев Василий,Машарский Станислав,3:0,2,5
153,143,Wesker Liu,Саркисян Вартан,3:0,3,7
6,72,Полоз Андрей,Лазебник Адам,0:3,6,1
24,1,Бородин Дмитрий,Тарасевич Сергей,1:3,11,4
125,153,Матвеев Василий,Wesker Liu,3:0,2,3
72,1,Лазебник Адам,Тарасевич Сергей,3:2,1,4
125,72,Матвеев Василий,Лазебник Адам,2:3,2,1
148,24,Синайский Дмитрий,Бородин Дмитрий,3:0,8,11
154,6,Кракович Илья,Полоз Андрей,0:3,10,6
155,143,Парулава Константин,Саркисян Вартан,1:3,9,7
148,6,Синайский Дмитрий,Полоз Андрей,0:3,8,6
146,143,Машарский Станислав,Саркисян Вартан,3:0,5,7
153,6,Wesker Liu,Полоз Андрей,3:2,3,6
146,1,Машарский Станислав,Тарасевич Сергей,1:3,5,4
153,1,Wesker Liu,Тарасевич Сергей,3:0,3,4
24,154,Бородин Дмитрий,Кракович Илья,0:3,11,10
154,155,Кракович Илья,Парулава Константин,2:3,10,9
6,146,Полоз Андрей,Машарский Станислав,2:3,6,5
148,143,Синайский Дмитрий,Саркисян Вартан,2:3,8,7
