108,100,Иванов Сергей,Зуев Вадим,3:1,1,2
108,117,Иванов Сергей,Бо Игорь,3:0,1,15
100,117,Зуев Вадим,Бо Игорь,3:0,2,15
108,118,Иванов Сергей,Калач Полина,3:0,1,17
100,118,Зуев Вадим,Калач Полина,3:0,2,17
117,118,Бо Игорь,Калач Полина,3:0,15,17
108,119,Иванов Сергей,Еремян Арсен,3:0,1,12
100,119,Зуев Вадим,Еремян Арсен,3:0,2,12
117,119,Бо Игорь,Еремян Арсен,2:3,15,12
118,119,Калач Полина,Еремян Арсен,0:3,17,12
88,17,Богатырев Владислав,Жвания Гела,3:1,3,8
88,25,Богатырев Владислав,Бондаренко Евгений,3:0,3,16
17,25,Жвания Гела,Бондаренко Евгений,3:0,8,16
88,78,Богатырев Владислав,Аккерер Алекс,3:0,3,11
17,78,Жвания Гела,Аккерер Алекс,3:1,8,11
25,78,Бондаренко Евгений,Аккерер Алекс,2:3,16,11
8,1,Фролов Андрей,Тарасевич Сергей,3:1,4,7
8,57,Фролов Андрей,Duchnowski Tomasz,3:2,4,14
1,57,Тарасевич Сергей,Duchnowski Tomasz,3:0,7,14
8,72,Фролов Андрей,Лазебник Адам,3:1,4,9
1,72,Тарасевич Сергей,Лазебник Адам,3:1,7,9
57,72,Duchnowski Tomasz,Лазебник Адам,0:3,14,9
6,83,Полоз Андрей,Клюев Артем,2:3,5,6
6,87,Полоз Андрей,Погарский Владимир,3:0,5,13
83,87,Клюев Артем,Погарский Владимир,3:1,6,13
6,12,Полоз Андрей,Веселов Василий,3:0,5,10
83,12,Клюев Артем,Веселов Василий,3:0,6,10
87,12,Погарский Владимир,Веселов Василий,2:3,13,10
6,72,Полоз Андрей,Лазебник Адам,3:2,5,9
17,119,Жвания Гела,Еремян Арсен,3:0,8,12
100,78,Зуев Вадим,Аккерер Алекс,3:1,2,11
1,12,Тарасевич Сергей,Веселов Василий,3:0,7,10
108,6,Иванов Сергей,Полоз Андрей,3:0,1,5
8,17,Фролов Андрей,Жвания Гела,3:1,4,8
83,100,Клюев Артем,Зуев Вадим,0:3,6,2
88,1,Богатырев Владислав,Тарасевич Сергей,3:0,3,7
108,8,Иванов Сергей,Фролов Андрей,3:0,1,4
100,88,Зуев Вадим,Богатырев Владислав,3:2,2,3
108,100,Иванов Сергей,Зуев Вадим,3:1,1,2
1,72,Тарасевич Сергей,Лазебник Адам,3:1,7,9
119,83,Еремян Арсен,Клюев Артем,0:3,12,6
78,17,Аккерер Алекс,Жвания Гела,1:3,11,8
12,6,Веселов Василий,Полоз Андрей,0:3,10,5
83,1,Клюев Артем,Тарасевич Сергей,3:1,6,7
83,8,Клюев Артем,Фролов Андрей,1:3,6,4
88,6,Богатырев Владислав,Полоз Андрей,3:1,3,5
88,8,Богатырев Владислав,Фролов Андрей,3:1,3,4
119,72,Еремян Арсен,Лазебник Адам,0:3,12,9
78,12,Аккерер Алекс,Веселов Василий,0:3,11,10
6,83,Полоз Андрей,Клюев Артем,3:2,5,6
72,12,Лазебник Адам,Веселов Василий,3:0,9,10
119,78,Еремян Арсен,Аккерер Алекс,1:3,12,11
25,118,Бондаренко Евгений,Калач Полина,3:0,16,17
87,25,Погарский Владимир,Бондаренко Евгений,3:1,13,16
117,57,Бо Игорь,Duchnowski Tomasz,0:3,15,14
87,57,Погарский Владимир,Duchnowski Tomasz,3:1,13,14
118,117,Калач Полина,Бо Игорь,1:3,17,15
