22,38,Денис Афанасьев,Маляренко Марк,3:0,1,10
22,56,Денис Афанасьев,Dee Tobias,3:0,1,8
22,7,Денис Афанасьев,Толстов Андрей,3:0,1,7
22,55,Денис Афанасьев,Соколов Федор,3:0,1,6
22,16,Денис Афанасьев,Казаков Вячеслав,3:0,1,11
56,16,Dee Tobias,Казаков Вячеслав,0:3,8,11
56,38,Dee Tobias,Маляренко Марк,3:2,8,10
56,7,Dee Tobias,Толстов Андрей,1:3,8,7
56,55,Dee Tobias,Соколов Федор,1:3,8,6
7,55,Толстов Андрей,Соколов Федор,0:3,7,6
7,16,Толстов Андрей,Казаков Вячеслав,0:3,7,11
7,38,Толстов Андрей,Маляренко Марк,3:1,7,10
55,38,Соколов Федор,Маляренко Марк,3:0,6,10
55,16,Соколов Федор,Казаков Вячеслав,0:3,6,11
16,38,Казаков Вячеслав,Маляренко Марк,3:0,11,10
1,59,Тарасевич Сергей,Форас-Драгомирова Юна,3:1,4,5
1,35,Тарасевич Сергей,Маймула Константин,0:3,4,2
1,33,Тарасевич Сергей,Накани Иракли,3:0,4,9
1,6,Тарасевич Сергей,Полоз Андрей,0:3,4,3
59,6,Форас-Драгомирова Юна,Полоз Андрей,1:3,5,3
59,35,Форас-Драгомирова Юна,Маймула Константин,0:3,5,2
59,33,Форас-Драгомирова Юна,Накани Иракли,3:0,5,9
35,33,Маймула Константин,Накани Иракли,3:0,2,9
35,6,Маймула Константин,Полоз Андрей,3:0,2,3
33,6,Накани Иракли,Полоз Андрей,1:3,9,3
22,59,Денис Афанасьев,Форас-Драгомирова Юна,3:1,1,5
7,6,Толстов Андрей,Полоз Андрей,0:3,7,3
55,1,Соколов Федор,Тарасевич Сергей,1:3,6,4
56,35,Dee Tobias,Маймула Константин,0:3,8,2
22,6,Денис Афанасьев,Полоз Андрей,3:0,1,3
1,35,Тарасевич Сергей,Маймула Константин,0:3,4,2
22,35,Денис Афанасьев,Маймула Константин,3:2,1,2
55,59,Соколов Федор,Форас-Драгомирова Юна,1:3,6,5
