6,51,Полоз Андрей,Михалицин Вячелав,3:0,2,11
6,87,Полоз Андрей,Погарский Владимир,3:2,2,14
51,87,Михалицин Вячелав,Погарский Владимир,3:2,11,14
81,84,Скотенков Роман,Банников Владислав,3:0,10,18
81,88,Скотенков Роман,Богатырев Владислав,0:3,10,1
84,88,Банников Владислав,Богатырев Владислав,0:3,18,1
76,24,Каминский Дмитрий,Бородин Дмитрий,0:3,20,15
76,21,Каминский Дмитрий,Киалбиев Гусейнага (левая),0:3,20,4
24,21,Бородин Дмитрий,Киалбиев Гусейнага (левая),1:3,15,4
1,11,Тарасевич Сергей,Голь Артемий,3:0,5,16
1,78,Тарасевич Сергей,Аккерер Алекс,3:1,5,8
11,78,Голь Артемий,Аккерер Алекс,1:3,16,8
74,72,Каминский Даниил,Лазебник Адам,0:3,21,6
74,57,Каминский Даниил,Duchnowski Tomasz,1:3,21,19
72,57,Лазебник Адам,Duchnowski Tomasz,3:0,6,19
17,89,Жвания Гела,Решетина Настя,3:0,3,7
90,82,Квятковский Антон,Чернышков Игорь,1:3,12,13
55,25,Соколов Федор,Бондаренко Евгений,3:0,17,9
78,76,Аккерер Алекс,Каминский Дмитрий,3:0,8,20
81,87,Скотенков Роман,Погарский Владимир,3:0,10,14
51,84,Михалицин Вячелав,Банников Владислав,3:1,11,18
74,89,Каминский Даниил,Решетина Настя,0:3,21,7
24,11,Бородин Дмитрий,Голь Артемий,3:2,15,16
6,78,Полоз Андрей,Аккерер Алекс,3:1,2,8
57,90,Duchnowski Tomasz,Квятковский Антон,0:3,19,12
21,81,Киалбиев Гусейнага (левая),Скотенков Роман,1:3,4,10
82,72,Чернышков Игорь,Лазебник Адам,1:3,13,6
1,51,Тарасевич Сергей,Михалицин Вячелав,3:1,5,11
55,89,Соколов Федор,Решетина Настя,0:3,17,7
88,24,Богатырев Владислав,Бородин Дмитрий,3:0,1,15
17,25,Жвания Гела,Бондаренко Евгений,3:0,3,9
6,90,Полоз Андрей,Квятковский Антон,3:0,2,12
81,72,Скотенков Роман,Лазебник Адам,1:3,10,6
1,89,Тарасевич Сергей,Решетина Настя,3:0,5,7
88,17,Богатырев Владислав,Жвания Гела,3:0,1,3
6,72,Полоз Андрей,Лазебник Адам,3:1,2,6
1,88,Тарасевич Сергей,Богатырев Владислав,0:3,5,1
6,88,Полоз Андрей,Богатырев Владислав,2:3,2,1
76,25,Каминский Дмитрий,Бондаренко Евгений,0:3,20,9
87,55,Погарский Владимир,Соколов Федор,3:0,14,17
82,84,Чернышков Игорь,Банников Владислав,3:0,13,18
74,21,Каминский Даниил,Киалбиев Гусейнага (левая),0:3,21,4
57,11,Duchnowski Tomasz,Голь Артемий,0:3,19,16
24,25,Бородин Дмитрий,Бондаренко Евгений,2:3,15,9
51,87,Михалицин Вячелав,Погарский Владимир,3:2,11,14
21,82,Киалбиев Гусейнага (левая),Чернышков Игорь,3:0,4,13
78,11,Аккерер Алекс,Голь Артемий,3:0,8,16
17,25,Жвания Гела,Бондаренко Евгений,3:0,3,9
89,51,Решетина Настя,Михалицин Вячелав,3:1,7,11
81,21,Скотенков Роман,Киалбиев Гусейнага (левая),2:3,10,4
90,78,Квятковский Антон,Аккерер Алекс,0:3,12,8
17,89,Жвания Гела,Решетина Настя,3:1,3,7
78,21,Аккерер Алекс,Киалбиев Гусейнага (левая),1:3,8,4
72,17,Лазебник Адам,Жвания Гела,0:3,6,3
1,21,Тарасевич Сергей,Киалбиев Гусейнага (левая),1:3,5,4
21,17,Киалбиев Гусейнага (левая),Жвания Гела,2:3,4,3
24,87,Бородин Дмитрий,Погарский Владимир,0:3,15,14
11,82,Голь Артемий,Чернышков Игорь,0:3,16,13
87,82,Погарский Владимир,Чернышков Игорь,0:3,14,13
11,24,Голь Артемий,Бородин Дмитрий,1:3,16,15
25,51,Бондаренко Евгений,Михалицин Вячелав,3:0,9,11
90,81,Квятковский Антон,Скотенков Роман,0:3,12,10
1,72,Тарасевич Сергей,Лазебник Адам,3:0,5,6
78,89,Аккерер Алекс,Решетина Настя,2:3,8,7
81,25,Скотенков Роман,Бондаренко Евгений,2:3,10,9
90,51,Квятковский Антон,Михалицин Вячелав,0:3,12,11
74,84,Каминский Даниил,Банников Владислав,0:3,21,18
76,55,Каминский Дмитрий,Соколов Федор,0:3,20,17
84,57,Банников Владислав,Duchnowski Tomasz,3:2,18,19
84,55,Банников Владислав,Соколов Федор,1:3,18,17
76,57,Каминский Дмитрий,Duchnowski Tomasz,0:3,20,19
