1,8,Тарасевич Сергей,Фролов Андрей,0:3,6,4
1,22,Тарасевич Сергей,Денис Афанасьев,0:3,6,1
1,53,Тарасевич Сергей,Прокофьев Степан,3:0,6,14
1,15,Тарасевич Сергей,Крылов Владислав,3:0,6,16
1,29,Тарасевич Сергей,Ерунов Илья,3:1,6,12
22,29,Денис Афанасьев,Ерунов Илья,3:0,1,12
22,8,Денис Афанасьев,Фролов Андрей,3:1,1,4
22,53,Денис Афанасьев,Прокофьев Степан,3:0,1,14
22,15,Денис Афанасьев,Крылов Владислав,3:0,1,16
53,15,Прокофьев Степан,Крылов Владислав,3:1,14,16
53,29,Прокофьев Степан,Ерунов Илья,1:3,14,12
53,8,Прокофьев Степан,Фролов Андрей,0:3,14,4
15,8,Крылов Владислав,Фролов Андрей,0:3,16,4
15,29,Крылов Владислав,Ерунов Илья,0:3,16,12
29,8,Ерунов Илья,Фролов Андрей,0:3,12,4
47,33,Хупения Роберт,Накани Иракли,3:1,8,13
47,57,Хупения Роберт,Duchnowski Tomasz,3:0,8,17
47,16,Хупения Роберт,Казаков Вячеслав,0:3,8,2
47,32,Хупения Роберт,Соболев Илья,0:3,8,3
47,5,Хупения Роберт,Сердюк Алексей,3:2,8,10
57,5,Duchnowski Tomasz,Сердюк Алексей,0:3,17,10
57,33,Duchnowski Tomasz,Накани Иракли,0:3,17,13
57,16,Duchnowski Tomasz,Казаков Вячеслав,0:3,17,2
57,32,Duchnowski Tomasz,Соболев Илья,0:3,17,3
16,32,Казаков Вячеслав,Соболев Илья,0:3,2,3
16,5,Казаков Вячеслав,Сердюк Алексей,3:1,2,10
16,33,Казаков Вячеслав,Накани Иракли,3:0,2,13
32,33,Соболев Илья,Накани Иракли,3:1,3,13
32,5,Соболев Илья,Сердюк Алексей,3:0,3,10
5,33,Сердюк Алексей,Накани Иракли,3:2,10,13
42,38,Мессарович Никита,Маляренко Марк,3:0,11,15
42,52,Мессарович Никита,Филиков Станислав,0:3,11,5
42,6,Мессарович Никита,Полоз Андрей,1:3,11,7
42,56,Мессарович Никита,Dee Tobias,1:3,11,9
38,56,Маляренко Марк,Dee Tobias,2:3,15,9
38,52,Маляренко Марк,Филиков Станислав,0:3,15,5
38,6,Маляренко Марк,Полоз Андрей,0:3,15,7
52,6,Филиков Станислав,Полоз Андрей,1:3,5,7
52,56,Филиков Станислав,Dee Tobias,3:0,5,9
6,56,Полоз Андрей,Dee Tobias,3:0,7,9
22,47,Денис Афанасьев,Хупения Роберт,3:0,1,8
8,6,Фролов Андрей,Полоз Андрей,3:0,4,7
1,32,Тарасевич Сергей,Соболев Илья,2:3,6,3
16,52,Казаков Вячеслав,Филиков Станислав,3:2,2,5
22,8,Денис Афанасьев,Фролов Андрей,3:0,1,4
16,32,Казаков Вячеслав,Соболев Илья,3:2,2,3
22,16,Денис Афанасьев,Казаков Вячеслав,3:0,1,2
1,52,Тарасевич Сергей,Филиков Станислав,2:3,6,5
