83,125,Клюев Артем,Матвеев Василий,0:3,5,3
83,139,Клюев Артем,Любов Денис,3:0,5,17
125,139,Матвеев Василий,Любов Денис,3:2,3,17
83,57,Клюев Артем,Duchnowski Tomasz,3:0,5,14
125,57,Матвеев Василий,Duchnowski Tomasz,3:0,3,14
139,57,Любов Денис,Duchnowski Tomasz,2:3,17,14
83,25,Клюев Артем,Бондаренко Евгений,3:0,5,8
125,25,Матвеев Василий,Бондаренко Евгений,3:0,3,8
139,25,Любов Денис,Бондаренко Евгений,1:3,17,8
57,25,Duchnowski Tomasz,Бондаренко Евгений,1:3,14,8
88,131,Богатырев Владислав,Амирханов Эльнур,3:0,1,15
88,1,Богатырев Владислав,Тарасевич Сергей,0:3,1,2
131,1,Амирханов Эльнур,Тарасевич Сергей,0:3,15,2
88,81,Богатырев Владислав,Скотенков Роман,3:0,1,12
131,81,Амирханов Эльнур,Скотенков Роман,0:3,15,12
1,81,Тарасевич Сергей,Скотенков Роман,3:1,2,12
88,89,Богатырев Владислав,Решетина Настя,3:1,1,13
131,89,Амирханов Эльнур,Решетина Настя,1:3,15,13
1,89,Тарасевич Сергей,Решетина Настя,3:0,2,13
81,89,Скотенков Роман,Решетина Настя,3:1,12,13
72,24,Лазебник Адам,Бородин Дмитрий,3:0,7,18
72,143,Лазебник Адам,Саркисян Вартан,3:0,7,19
24,143,Бородин Дмитрий,Саркисян Вартан,1:3,18,19
72,136,Лазебник Адам,Кузьмин Игорь,3:0,7,11
24,136,Бородин Дмитрий,Кузьмин Игорь,0:3,18,11
143,136,Саркисян Вартан,Кузьмин Игорь,1:3,19,11
72,146,Лазебник Адам,Машарский Станислав,3:0,7,9
24,146,Бородин Дмитрий,Машарский Станислав,0:3,18,9
143,146,Саркисян Вартан,Машарский Станислав,0:3,19,9
136,146,Кузьмин Игорь,Машарский Станислав,3:0,11,9
59,26,Форас-Драгомирова Юна,Скрибник Евгений,0:3,10,6
59,12,Форас-Драгомирова Юна,Веселов Василий,3:1,10,16
26,12,Скрибник Евгений,Веселов Василий,3:0,6,16
59,124,Форас-Драгомирова Юна,Горбадей Никита,0:3,10,4
26,124,Скрибник Евгений,Горбадей Никита,0:3,6,4
12,124,Веселов Василий,Горбадей Никита,1:3,16,4
26,146,Скрибник Евгений,Машарский Станислав,3:0,6,9
88,25,Богатырев Владислав,Бондаренко Евгений,3:1,1,8
136,59,Кузьмин Игорь,Форас-Драгомирова Юна,3:0,11,10
83,81,Клюев Артем,Скотенков Роман,3:0,5,12
125,26,Матвеев Василий,Скрибник Евгений,3:0,3,6
72,88,Лазебник Адам,Богатырев Владислав,1:3,7,1
1,136,Тарасевич Сергей,Кузьмин Игорь,3:0,2,11
124,83,Горбадей Никита,Клюев Артем,3:1,4,5
125,88,Матвеев Василий,Богатырев Владислав,2:3,3,1
1,124,Тарасевич Сергей,Горбадей Никита,3:2,2,4
88,1,Богатырев Владислав,Тарасевич Сергей,3:1,1,2
146,83,Машарский Станислав,Клюев Артем,1:3,9,5
25,136,Бондаренко Евгений,Кузьмин Игорь,3:0,8,11
59,72,Форас-Драгомирова Юна,Лазебник Адам,0:3,10,7
81,26,Скотенков Роман,Скрибник Евгений,1:3,12,6
25,83,Бондаренко Евгений,Клюев Артем,0:3,8,5
72,26,Лазебник Адам,Скрибник Евгений,2:3,7,6
125,83,Матвеев Василий,Клюев Артем,3:0,3,5
124,26,Горбадей Никита,Скрибник Евгений,3:1,4,6
125,124,Матвеев Василий,Горбадей Никита,3:0,3,4
136,146,Кузьмин Игорь,Машарский Станислав,0:3,11,9
59,81,Форас-Драгомирова Юна,Скотенков Роман,3:2,10,12
59,146,Форас-Драгомирова Юна,Машарский Станислав,1:3,10,9
81,136,Скотенков Роман,Кузьмин Игорь,2:3,12,11
83,26,Клюев Артем,Скрибник Евгений,3:0,5,6
25,72,Бондаренко Евгений,Лазебник Адам,0:3,8,7
89,139,Решетина Настя,Любов Денис,3:2,13,17
57,131,Duchnowski Tomasz,Амирханов Эльнур,3:0,14,15
143,12,Саркисян Вартан,Веселов Василий,0:3,19,16
24,89,Бородин Дмитрий,Решетина Настя,0:3,18,13
57,12,Duchnowski Tomasz,Веселов Василий,3:2,14,16
89,57,Решетина Настя,Duchnowski Tomasz,3:1,13,14
143,131,Саркисян Вартан,Амирханов Эльнур,1:3,19,15
139,12,Любов Денис,Веселов Василий,1:3,17,16
24,131,Бородин Дмитрий,Амирханов Эльнур,1:3,18,15
131,12,Амирханов Эльнур,Веселов Василий,3:1,15,16
