107,144,Помыткин Евгений,Жвания Ираклий,3:0,2,22
107,115,Помыткин Евгений,Хельстром Томас,3:0,2,23
144,115,Жвания Ираклий,Хельстром Томас,3:0,22,23
125,83,Матвеев Василий,Клюев Артем,3:0,1,9
125,127,Матвеев Василий,Мельников Павел,3:0,1,19
83,127,Клюев Артем,Мельников Павел,3:0,9,19
1,59,Тарасевич Сергей,Форас-Драгомирова Юна,3:0,13,21
1,12,Тарасевич Сергей,Веселов Василий,3:0,13,20
59,12,Форас-Драгомирова Юна,Веселов Василий,3:2,21,20
124,78,Горбадей Никита,Аккерер Алекс,3:0,5,11
124,143,Горбадей Никита,Саркисян Вартан,3:0,5,24
78,143,Аккерер Алекс,Саркисян Вартан,3:1,11,24
17,25,Жвания Гела,Бондаренко Евгений,2:3,10,8
17,51,Жвания Гела,Михалицин Вячелав,3:0,10,14
25,51,Бондаренко Евгений,Михалицин Вячелав,3:0,8,14
89,121,Решетина Настя,Любинец Александр,0:3,6,4
89,142,Решетина Настя,Стариков Владислав,3:0,6,18
121,142,Любинец Александр,Стариков Владислав,3:1,4,18
72,145,Лазебник Адам,Федоренко Владимир,3:0,3,17
72,24,Лазебник Адам,Бородин Дмитрий,3:0,3,16
145,24,Федоренко Владимир,Бородин Дмитрий,3:0,17,16
31,138,Самохин Илья,Ивачев Евгений,3:0,7,15
31,57,Самохин Илья,Duchnowski Tomasz,3:0,7,12
138,57,Ивачев Евгений,Duchnowski Tomasz,3:2,15,12
78,12,Аккерер Алекс,Веселов Василий,2:3,11,20
138,24,Ивачев Евгений,Бородин Дмитрий,3:2,15,16
83,115,Клюев Артем,Хельстром Томас,3:0,9,23
89,51,Решетина Настя,Михалицин Вячелав,3:0,6,14
144,127,Жвания Ираклий,Мельников Павел,2:3,22,19
17,142,Жвания Гела,Стариков Владислав,3:0,10,18
59,143,Форас-Драгомирова Юна,Саркисян Вартан,3:0,21,24
145,57,Федоренко Владимир,Duchnowski Tomasz,3:0,17,12
107,12,Помыткин Евгений,Веселов Василий,3:0,2,20
25,138,Бондаренко Евгений,Ивачев Евгений,3:1,8,15
1,83,Тарасевич Сергей,Клюев Артем,1:3,13,9
72,89,Лазебник Адам,Решетина Настя,1:3,3,6
124,127,Горбадей Никита,Мельников Павел,3:1,5,19
31,17,Самохин Илья,Жвания Гела,1:3,7,10
125,59,Матвеев Василий,Форас-Драгомирова Юна,3:1,1,21
121,145,Любинец Александр,Федоренко Владимир,3:2,4,17
