108,33,Иванов Сергей,Накани Иракли,3:0,1,12
108,51,Иванов Сергей,Михалицин Вячелав,3:1,1,10
33,51,Накани Иракли,Михалицин Вячелав,3:2,12,10
108,124,Иванов Сергей,Горбадей Никита,3:0,1,2
33,124,Накани Иракли,Горбадей Никита,0:3,12,2
51,124,Михалицин Вячелав,Горбадей Никита,2:3,10,2
108,11,Иванов Сергей,Голь Артемий,3:0,1,13
33,11,Накани Иракли,Голь Артемий,3:0,12,13
51,11,Михалицин Вячелав,Голь Артемий,3:0,10,13
124,11,Горбадей Никита,Голь Артемий,3:0,2,13
125,31,Матвеев Василий,Самохин Илья,3:0,3,8
125,131,Матвеев Василий,Амирханов Эльнур,3:1,3,11
31,131,Самохин Илья,Амирханов Эльнур,3:1,8,11
125,83,Матвеев Василий,Клюев Артем,2:3,3,5
31,83,Самохин Илья,Клюев Артем,3:2,8,5
131,83,Амирханов Эльнур,Клюев Артем,0:3,11,5
125,136,Матвеев Василий,Кузьмин Игорь,3:0,3,6
31,136,Самохин Илья,Кузьмин Игорь,3:2,8,6
131,136,Амирханов Эльнур,Кузьмин Игорь,1:3,11,6
83,136,Клюев Артем,Кузьмин Игорь,1:3,5,6
1,135,Тарасевич Сергей,Бар-Слива Георгий,3:0,4,14
1,69,Тарасевич Сергей,Наседкин Яков,3:0,4,9
135,69,Бар-Слива Георгий,Наседкин Яков,0:3,14,9
1,111,Тарасевич Сергей,Н Михаил,3:1,4,7
135,111,Бар-Слива Георгий,Н Михаил,0:3,14,7
69,111,Наседкин Яков,Н Михаил,1:3,9,7
31,69,Самохин Илья,Наседкин Яков,3:0,8,9
1,11,Тарасевич Сергей,Голь Артемий,3:0,4,13
33,136,Накани Иракли,Кузьмин Игорь,0:3,12,6
124,131,Горбадей Никита,Амирханов Эльнур,3:1,2,11
83,135,Клюев Артем,Бар-Слива Георгий,3:0,5,14
111,51,Н Михаил,Михалицин Вячелав,3:2,7,10
108,31,Иванов Сергей,Самохин Илья,3:0,1,8
1,136,Тарасевич Сергей,Кузьмин Игорь,3:1,4,6
124,83,Горбадей Никита,Клюев Артем,3:0,2,5
125,111,Матвеев Василий,Н Михаил,3:0,3,7
108,1,Иванов Сергей,Тарасевич Сергей,3:0,1,4
124,125,Горбадей Никита,Матвеев Василий,3:2,2,3
108,124,Иванов Сергей,Горбадей Никита,3:0,1,2
11,33,Голь Артемий,Накани Иракли,1:3,13,12
135,131,Бар-Слива Георгий,Амирханов Эльнур,1:3,14,11
69,111,Наседкин Яков,Н Михаил,1:3,9,7
33,83,Накани Иракли,Клюев Артем,1:3,12,5
136,131,Кузьмин Игорь,Амирханов Эльнур,3:1,6,11
51,31,Михалицин Вячелав,Самохин Илья,1:3,10,8
111,83,Н Михаил,Клюев Артем,0:3,7,5
31,136,Самохин Илья,Кузьмин Игорь,1:3,8,6
83,1,Клюев Артем,Тарасевич Сергей,1:3,5,4
125,136,Матвеев Василий,Кузьмин Игорь,3:1,3,6
1,125,Тарасевич Сергей,Матвеев Василий,2:3,4,3
11,135,Голь Артемий,Бар-Слива Георгий,3:1,13,14
69,33,Наседкин Яков,Накани Иракли,3:1,9,12
51,131,Михалицин Вячелав,Амирханов Эльнур,3:0,10,11
51,69,Михалицин Вячелав,Наседкин Яков,0:3,10,9
131,33,Амирханов Эльнур,Накани Иракли,3:2,11,12
83,136,Клюев Артем,Кузьмин Игорь,3:1,5,6
111,31,Н Михаил,Самохин Илья,3:2,7,8
