71,53,Киселев Павел,Прокофьев Степан,0:3,23,16
71,61,Киселев Павел,Анисимов Антон,0:3,23,1
53,61,Прокофьев Степан,Анисимов Антон,0:3,16,1
20,66,Гусейнага Киалбиев,Синявин Андрей,3:0,3,21
20,59,Гусейнага Киалбиев,Форас-Драгомирова Юна,3:0,3,13
66,59,Синявин Андрей,Форас-Драгомирова Юна,0:3,21,13
55,65,Соколов Федор,Буадзе Сандро,0:3,10,4
55,51,Соколов Федор,Михалицин Вячелав,3:1,10,15
65,51,Буадзе Сандро,Михалицин Вячелав,3:0,4,15
70,45,Чхартишвили Анастасия,Федотовский Павел,3:0,2,14
70,24,Чхартишвили Анастасия,Бородин Дмитрий,3:0,2,24
45,24,Федотовский Павел,Бородин Дмитрий,3:1,14,24
12,57,Веселов Василий,Duchnowski Tomasz,3:0,12,18
12,62,Веселов Василий,Шевкун Константин,0:3,12,5
57,62,Duchnowski Tomasz,Шевкун Константин,0:3,18,5
25,67,Бондаренко Евгений,Артем Толматов,0:3,17,8
25,48,Бондаренко Евгений,Киреев Сергей,0:3,17,9
67,48,Артем Толматов,Киреев Сергей,3:1,8,9
1,64,Тарасевич Сергей,Евсеев Юрий,3:0,7,20
1,68,Тарасевич Сергей,Ляпунов Александр,3:0,7,22
64,68,Евсеев Юрий,Ляпунов Александр,3:1,20,22
69,31,Наседкин Яков,Самохин Илья,2:3,11,6
69,63,Наседкин Яков,Юрьев Алексей,3:0,11,19
31,63,Самохин Илья,Юрьев Алексей,3:0,6,19
45,51,Федотовский Павел,Михалицин Вячелав,0:3,14,15
69,68,Наседкин Яков,Ляпунов Александр,3:0,11,22
59,71,Форас-Драгомирова Юна,Киселев Павел,3:0,13,23
48,57,Киреев Сергей,Duchnowski Tomasz,3:0,9,18
53,66,Прокофьев Степан,Синявин Андрей,3:0,16,21
12,25,Веселов Василий,Бондаренко Евгений,3:1,12,17
55,24,Соколов Федор,Бородин Дмитрий,3:0,10,24
64,63,Евсеев Юрий,Юрьев Алексей,2:3,20,19
61,51,Анисимов Антон,Михалицин Вячелав,3:0,1,15
62,69,Шевкун Константин,Наседкин Яков,3:0,5,11
65,59,Буадзе Сандро,Форас-Драгомирова Юна,3:0,4,13
1,48,Тарасевич Сергей,Киреев Сергей,3:1,7,9
70,53,Чхартишвили Анастасия,Прокофьев Степан,3:0,2,16
31,12,Самохин Илья,Веселов Василий,3:2,6,12
20,55,Гусейнага Киалбиев,Соколов Федор,3:0,3,10
67,63,Артем Толматов,Юрьев Алексей,3:0,8,19
61,62,Анисимов Антон,Шевкун Константин,3:0,1,5
65,1,Буадзе Сандро,Тарасевич Сергей,3:0,4,7
70,31,Чхартишвили Анастасия,Самохин Илья,3:0,2,6
20,67,Гусейнага Киалбиев,Артем Толматов,3:0,3,8
61,65,Анисимов Антон,Буадзе Сандро,3:0,1,4
70,20,Чхартишвили Анастасия,Гусейнага Киалбиев,3:2,2,3
61,70,Анисимов Антон,Чхартишвили Анастасия,3:1,1,2
45,63,Федотовский Павел,Юрьев Алексей,3:0,14,19
68,55,Ляпунов Александр,Соколов Федор,0:3,22,10
71,12,Киселев Павел,Веселов Василий,0:3,23,12
53,57,Прокофьев Степан,Duchnowski Tomasz,3:2,16,18
66,48,Синявин Андрей,Киреев Сергей,0:3,21,9
25,59,Бондаренко Евгений,Форас-Драгомирова Юна,1:3,17,13
64,51,Евсеев Юрий,Михалицин Вячелав,0:3,20,15
55,45,Соколов Федор,Федотовский Павел,3:0,10,14
53,12,Прокофьев Степан,Веселов Василий,0:3,16,12
48,59,Киреев Сергей,Форас-Драгомирова Юна,3:2,9,13
51,69,Михалицин Вячелав,Наседкин Яков,0:3,15,11
67,55,Артем Толматов,Соколов Федор,3:1,8,10
31,12,Самохин Илья,Веселов Василий,3:0,6,12
1,48,Тарасевич Сергей,Киреев Сергей,3:1,7,9
62,69,Шевкун Константин,Наседкин Яков,3:0,5,11
31,67,Самохин Илья,Артем Толматов,3:2,6,8
1,62,Тарасевич Сергей,Шевкун Константин,1:3,7,5
65,31,Буадзе Сандро,Самохин Илья,3:0,4,6
20,62,Гусейнага Киалбиев,Шевкун Константин,3:1,3,5
65,20,Буадзе Сандро,Гусейнага Киалбиев,0:3,4,3
53,45,Прокофьев Степан,Федотовский Павел,0:3,16,14
51,59,Михалицин Вячелав,Форас-Драгомирова Юна,2:3,15,13
45,59,Федотовский Павел,Форас-Драгомирова Юна,0:3,14,13
53,51,Прокофьев Степан,Михалицин Вячелав,0:3,16,15
12,55,Веселов Василий,Соколов Федор,1:3,12,10
48,69,Киреев Сергей,Наседкин Яков,3:0,9,11
31,62,Самохин Илья,Шевкун Константин,0:3,6,5
67,1,Артем Толматов,Тарасевич Сергей,1:3,8,7
55,48,Соколов Федор,Киреев Сергей,0:3,10,9
12,69,Веселов Василий,Наседкин Яков,0:3,12,11
68,63,Ляпунов Александр,Юрьев Алексей,0:3,22,19
71,57,Киселев Павел,Duchnowski Tomasz,0:3,23,18
66,25,Синявин Андрей,Бондаренко Евгений,0:3,21,17
57,63,Duchnowski Tomasz,Юрьев Алексей,3:0,18,19
25,64,Бондаренко Евгений,Евсеев Юрий,3:1,17,20
25,57,Бондаренко Евгений,Duchnowski Tomasz,3:0,17,18
64,63,Евсеев Юрий,Юрьев Алексей,2:3,20,19
71,68,Киселев Павел,Ляпунов Александр,0:3,23,22
66,68,Синявин Андрей,Ляпунов Александр,3:0,21,22
