1,54,Тарасевич Сергей,Юшкова Татьяна,3:2,2,4
1,53,Тарасевич Сергей,Прокофьев Степан,3:0,2,6
1,14,Тарасевич Сергей,Кошельников Влад,3:0,2,5
1,58,Тарасевич Сергей,Борисов Александр,0:3,2,1
1,51,Тарасевич Сергей,Михалицин Вячелав,3:2,2,3
53,51,Прокофьев Степан,Михалицин Вячелав,0:3,6,3
53,54,Прокофьев Степан,Юшкова Татьяна,0:3,6,4
53,14,Прокофьев Степан,Кошельников Влад,0:3,6,5
53,58,Прокофьев Степан,Борисов Александр,0:3,6,1
14,58,Кошельников Влад,Борисов Александр,0:3,5,1
14,51,Кошельников Влад,Михалицин Вячелав,0:3,5,3
14,54,Кошельников Влад,Юшкова Татьяна,1:3,5,4
58,54,Борисов Александр,Юшкова Татьяна,3:0,1,4
58,51,Борисов Александр,Михалицин Вячелав,3:1,1,3
51,54,Михалицин Вячелав,Юшкова Татьяна,3:1,3,4
