124,1,Горбадей Никита,Тарасевич Сергей,3:1,2,4
124,25,Горбадей Никита,Бондаренко Евгений,3:0,2,3
1,25,Тарасевич Сергей,Бондаренко Евгений,2:3,4,3
124,152,Горбадей Никита,Хохлов Михаил,3:0,2,10
1,152,Тарасевич Сергей,Хохлов Михаил,3:0,4,10
25,152,Бондаренко Евгений,Хохлов Михаил,3:1,3,10
124,143,Горбадей Никита,Саркисян Вартан,3:0,2,7
1,143,Тарасевич Сергей,Саркисян Вартан,3:0,4,7
25,143,Бондаренко Евгений,Саркисян Вартан,3:1,3,7
152,143,Хохлов Михаил,Саркисян Вартан,1:3,10,7
125,137,Матвеев Василий,Горбадей Михаил,3:1,1,6
125,150,Матвеев Василий,Загребельный Тимофей,3:0,1,5
137,150,Горбадей Михаил,Загребельный Тимофей,1:3,6,5
125,53,Матвеев Василий,Прокофьев Степан,3:0,1,8
137,53,Горбадей Михаил,Прокофьев Степан,1:3,6,8
150,53,Загребельный Тимофей,Прокофьев Степан,3:0,5,8
125,103,Матвеев Василий,Жиров Александр,3:0,1,9
137,103,Горбадей Михаил,Жиров Александр,3:0,6,9
150,103,Загребельный Тимофей,Жиров Александр,3:0,5,9
53,103,Прокофьев Степан,Жиров Александр,3:0,8,9
124,53,Горбадей Никита,Прокофьев Степан,3:0,2,8
25,150,Бондаренко Евгений,Загребельный Тимофей,3:0,3,5
1,137,Тарасевич Сергей,Горбадей Михаил,3:0,4,6
143,125,Саркисян Вартан,Матвеев Василий,0:3,7,1
124,25,Горбадей Никита,Бондаренко Евгений,3:0,2,3
1,125,Тарасевич Сергей,Матвеев Василий,0:3,4,1
124,125,Горбадей Никита,Матвеев Василий,0:3,2,1
53,150,Прокофьев Степан,Загребельный Тимофей,0:3,8,5
143,137,Саркисян Вартан,Горбадей Михаил,0:3,7,6
1,150,Тарасевич Сергей,Загребельный Тимофей,3:1,4,5
25,137,Бондаренко Евгений,Горбадей Михаил,3:0,3,6
25,1,Бондаренко Евгений,Тарасевич Сергей,3:2,3,4
137,150,Горбадей Михаил,Загребельный Тимофей,1:3,6,5
53,143,Прокофьев Степан,Саркисян Вартан,2:3,8,7
152,103,Хохлов Михаил,Жиров Александр,2:3,10,9
